28-11-2024 23:38:01.434 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 84170 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
28-11-2024 23:38:01.437 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
28-11-2024 23:57:20.177 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 86349 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
28-11-2024 23:57:20.180 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
28-11-2024 23:57:38.531 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 86622 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
28-11-2024 23:57:38.533 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
28-11-2024 23:57:48.459 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 86856 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
28-11-2024 23:57:48.461 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
28-11-2024 23:59:13.120 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 87660 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
28-11-2024 23:59:13.122 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
28-11-2024 23:59:17.530 [main] INFO  com.akkarimzai.task10.MainKt.logStarted - Started MainKt in 4.68 seconds (process running for 5.155)
29-11-2024 00:02:04.996 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 88604 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
29-11-2024 00:02:05.000 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-11-2024 00:02:10.112 [main] INFO  com.akkarimzai.task10.MainKt.logStarted - Started MainKt in 5.478 seconds (process running for 6.03)
29-11-2024 00:38:24.199 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 109303 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
29-11-2024 00:38:24.202 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-11-2024 00:38:30.496 [main] INFO  com.akkarimzai.task10.MainKt.logStarted - Started MainKt in 6.641 seconds (process running for 7.472)
29-11-2024 00:49:07.253 [main] INFO  com.akkarimzai.task10.MainKt.logStarting - Starting MainKt using Java 21.0.5 with PID 16472 (/home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10/build/classes/kotlin/main started by khalid in /home/khalid/Desktop/TBankTasks/homeworks/TBank-FinTech/Task10)
29-11-2024 00:49:07.256 [main] INFO  com.akkarimzai.task10.MainKt.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-11-2024 00:49:15.518 [main] INFO  com.akkarimzai.task10.MainKt.logStarted - Started MainKt in 8.76 seconds (process running for 9.72)
